datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/10/14 18:05:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,12,0,0.9,3.107,-60.999,45.7
2018/10/14 18:05:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,12,0,0.9,3.108,-60.994,55
2018/11/01 17:55:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,9,0.3,1,4.199,-59.834,24.8
2018/11/02 17:00:00,AQUA_M-T,Brasil,RORAIMA,CARACARAI,Amazonia,3,0,0.1,2.009,-61.399,36.5
2018/11/17 17:55:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,2,0,1,4.095,-60.314,21.9
2018/12/02 17:10:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,3,0,1,4.261,-60.199,9.8
2018/12/02 17:10:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,3,0,1,4.27,-60.14,16.5
2018/12/09 17:20:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,10,0.2,0.9,2.667,-60.945,15.5
2018/12/11 17:05:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,8,0,1,4.205,-60.683,30.8
2018/12/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,13,0.5,1,3.278,-60.848,27.2
2018/12/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,18,0.3,1,3.811,-61.288,23.4
2018/01/05 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0,0.5,4.451,-60.71,13.8
2018/01/11 16:55:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0,0.7,4.151,-60.914,119.9
2018/01/17 17:55:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,5.1,1,2.585,-60.124,22.1
2018/01/19 17:45:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0,1,3.568,-60.711,18.3
2018/01/21 17:30:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,0,0,0.8,3.714,-61.098,19.7
2018/03/10 17:30:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,0,0,0.5,4.097,-61.352,14.5
2018/03/31 17:50:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,0,2.1,0.4,3.651,-61.637,60.2
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,0,0.7,0.8,1.828,-60.337,14.2
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0.3,0.6,2.746,-61.47,43.4
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.9,2.767,-60.11,10.1
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.7,2.805,-60.344,15.9
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0.1,0.8,2.816,-61.334,158.4
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0.1,0.8,2.817,-61.323,89.6
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0.1,0.8,2.819,-61.311,204.2
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0.1,0.8,2.829,-61.313,16.7
2018/04/04 17:25:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,1,3.064,-60.761,14.9
2018/04/07 17:55:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0.1,1,4.06,-60.841,111.1
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0,0.8,4.489,-61.041,13.2
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,1,4.651,-60.294,12.5
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,0.8,4.653,-60.285,26
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,1,4.721,-60.446,20.1
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0.1,0.6,5.075,-60.421,52.8
2018/04/11 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0.1,0.6,5.076,-60.412,21.2
