datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/02/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,1,3.305,-60.947,24.1
2019/02/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,1,3.34,-60.893,14.2
2019/02/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,1,3.341,-60.884,10.4
2019/02/10 18:15:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,46,0,1,2.684,-61.564,53.8
2019/02/21 17:55:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,26,0,1,3.622,-59.963,28.9
2019/02/22 17:00:00,AQUA_M-T,Brasil,RORAIMA,CARACARAI,Amazonia,37,0,1,1.338,-60.615,68.6
2019/01/01 17:25:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,11,0,1,2.985,-60.711,21.7
2019/01/01 17:25:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,11,0,1,2.987,-60.701,113.6
2019/01/03 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,23,0,1,4.278,-60.358,16.6
2019/01/03 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,26,0,1,4.284,-60.548,52.7
2019/01/03 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,25,0,1,4.356,-60.517,25.5
2019/01/03 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,25,0,1,4.36,-60.512,27.4
2019/01/05 17:00:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,8,0,1,4.386,-60.173,35.6
2019/01/05 17:00:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,8,0,1,4.388,-60.178,37
2019/01/05 17:00:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,18,0,1,4.521,-60.389,20.8
2019/01/06 17:45:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,29,0.1,1,4.319,-60.661,45.1
2019/01/06 17:45:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,10,0,1,4.833,-60.282,13.9
2019/01/08 17:30:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0.5,1,3.941,-59.77,9.5
2019/01/08 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,4,0.6,1,3.99,-60.584,9.7
2019/01/09 18:15:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,40,0,1,3.4,-61.144,58.5
2019/01/09 18:15:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,5,0,1,3.913,-60.675,68.9
