datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/20 17:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0,0.3,2.951,-60.582,57.3
2020/09/21 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0.1,2.875,-63.69,14
2020/09/21 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0,3.287,-63.901,7.7
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,5,0.6,0,4.139,-61.177,16.7
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0.4,0.2,2.351,-60.995,11.5
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,1,0.9,0.1,1.92,-60.408,29.9
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,2,1,0.1,1.919,-60.417,17.6
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,1.1,0.3,3.391,-60.688,27.9
2020/09/23 17:30:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,3,1,0.3,3.39,-60.697,21.8
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,4.1,0,4.651,-60.931,28.1
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,3,3.7,0,4.649,-60.943,23.8
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,7,0,0.2,3.896,-61.454,13.2
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0,0.3,3.12,-61.182,14.2
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,SAO LUIZ,Amazonia,0,0,0,0.974,-60.005,22.1
2020/09/25 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1.4,0,0.81,-59.521,10.5
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,0.5,3.913,-59.711,11.4
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,0,2.3,0.2,3.021,-60.11,16.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,3.229,-60.652,8.9
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,2.896,-60.726,63.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.1,3.458,-61.37,8.7
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.2,3.505,-60.719,13.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,3.246,-60.663,18.1
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.3,2.895,-60.735,10.9
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.2,3.508,-60.701,8.6
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,2,0,0.2,3.507,-60.71,21.6
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.1,2.846,-60.502,11.3
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.1,2.778,-60.263,16.6
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,2,0,0,2.112,-60.611,4.3
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,0.5,3.912,-59.72,17
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,1.029,-59.493,15.7
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,2,0,0.1,0.774,-60.446,7.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,0.771,-59.37,21
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,0,0.1,0.722,-59.837,46.6
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,0.772,-59.361,62.8
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,0,0.1,0.771,-59.878,7.4
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,0,0.1,0.721,-59.846,17.4
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,CANTA,Amazonia,2,0,0.1,2.111,-60.62,9.2
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,0,0.1,0.78,-59.879,36.5
2020/09/30 17:35:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,0,0.1,0.781,-59.87,10
2020/10/02 17:25:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,0,1.9,0,0.56,-60.158,5.2
2020/10/02 17:25:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,5,0,0.7,3.902,-59.764,10.8
2020/10/02 17:25:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,5,0,0.7,3.9,-59.773,10.1
2020/10/02 17:25:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,4,0,0.2,4.048,-60.652,9.7
2020/10/03 18:05:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,0,2.1,0,0.683,-59.844,97.3
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,7.7,0,1.016,-59.62,55.5
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,7.2,0,1.007,-59.604,82.6
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,7.2,0,0.995,-59.611,34
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0.5,0.2,2.639,-60.926,58.6
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,7.4,0,1.006,-59.612,59.9
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,7,0,0.8,3.778,-59.739,12.9
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,5,0.2,0.4,3.238,-60.967,24.5
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,7.5,0,1.004,-59.619,36.1
2020/10/04 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,8.1,0,1.013,-59.636,26.2
2020/10/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0.5,0.1,2.173,-60.02,10.9
2020/10/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,1,0.3,0.1,2.895,-63.627,9.1
2020/10/09 17:30:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,3,0,3.292,-63.915,9.1
2020/10/11 17:20:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0,0.1,2.547,-61.029,14.7
2020/10/11 17:20:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,1,0,0.2,4.351,-60.399,19.3
2020/10/11 17:20:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,0.2,4.349,-60.41,10.5
2020/10/12 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.2,2.67,-60.92,84
2020/10/12 18:00:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,2,0,0.2,2.68,-60.927,38.6
2020/10/15 16:55:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,5,0.8,0.7,3.954,-59.721,36.9
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,9,0,0.8,3.552,-60.427,21.8
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,7,0,0.9,2.929,-60.991,11
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0,0.2,3.289,-63.909,12.9
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,9,0,0.8,3.551,-60.437,11.5
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,9,0,0.6,3.376,-60.767,24.3
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,4,0,0.1,4.402,-61.183,41.2
2020/10/16 17:35:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,7,0,0.9,4.838,-60.444,12.6
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,9,0,0.3,2.938,-61.302,13.7
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,5,0,0.7,3.303,-60.074,8.9
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.4,2.885,-60.279,8.7
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.2,2.881,-60.273,19.5
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,5,0,0.2,0.877,-59.598,29.3
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,4,1,0.1,0.648,-59.905,28.8
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,4,0.4,0.2,0.797,-59.841,11.4
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.4,0.1,1.098,-59.543,54.6
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.4,0.1,1.108,-59.535,10.5
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,4,0.4,0.4,0.799,-59.831,7.9
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,5,0,0.2,0.823,-60.31,18.4
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.5,0.1,1.107,-59.544,20
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,0.8,3.937,-59.578,16.8
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,2,0,0.4,2.988,-60.163,11.1
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0.4,0.1,1.099,-59.533,46.7
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CARACARAI,Amazonia,5,0,0.1,1.767,-61.204,15.3
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,4,1,0.1,0.65,-59.895,83
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,SAO JOAO DA BALIZA,Amazonia,4,0.9,0.1,0.659,-59.897,17.6
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,CARACARAI,Amazonia,5,0,0.1,1.989,-61.42,10.1
